Customer_ID,Age,Gender,Policy_Type,Premium,Claim_Count,Region,Date_Joined,Customer_Satisfaction
CUST_1006,57.0,0,2,2942.91,10.0,0,2018-03-04,4.0
CUST_1009,68.0,1,2,4621.31,5.0,0,2020-11-03,3.0
CUST_1072,41.0,0,2,3211.83,2.0,3,2023-05-13,8.0
CUST_1011,28.0,2,0,7907.945000000001,4.0,3,2018-04-03,1.0
CUST_1047,20.0,2,0,939.36,2.0,3,2023-02-26,10.0
CUST_1085,27.0,0,1,3913.04,10.0,3,2023-01-24,10.0
CUST_1028,62.0,0,0,3777.21,2.0,3,2019-03-14,2.0
CUST_1003,28.0,0,2,4614.04,1.0,0,2022-11-21,3.0
CUST_1005,46.0,2,2,3211.83,1.0,0,2020-06-12,6.0
CUST_1066,22.0,0,2,4594.29,10.0,2,2021-10-01,3.0
CUST_1065,79.0,1,0,4772.54,6.0,3,2020-02-07,3.0
CUST_1035,51.0,1,1,4287.81,4.0,1,2018-02-05,6.0
CUST_1016,33.0,0,2,4067.79,5.0,3,2018-10-02,3.0
CUST_1049,75.0,0,1,1730.53,10.0,1,2019-01-05,7.0
CUST_1034,38.0,0,2,4222.33,1.0,2,2017-01-04,8.0
CUST_1007,34.0,0,0,901.61,6.0,1,2018-11-27,6.0
CUST_1005,46.0,2,2,3211.83,1.0,0,2020-06-12,1.0
CUST_1027,57.0,1,2,3900.41,1.0,1,2018-11-28,2.0
CUST_1019,36.0,1,1,2987.03,0.0,1,2024-07-13,9.0
CUST_1081,72.0,1,0,4928.62,4.0,3,2018-07-16,3.0
CUST_1025,31.0,2,0,3889.01,1.0,3,2017-02-21,3.0
CUST_1062,58.0,1,0,3211.83,4.0,1,2017-10-19,9.0
CUST_1013,45.0,1,1,1381.97,9.0,0,2018-08-12,2.0
CUST_1024,49.0,1,2,4750.46,0.0,2,2024-11-01,3.0
CUST_1003,28.0,0,2,7907.945000000001,1.0,0,2022-11-21,3.0
CUST_1017,42.0,1,2,2496.91,2.0,3,2022-03-06,8.0
CUST_1038,49.0,1,2,3053.03,0.0,0,2024-01-06,5.0
CUST_1008,41.0,0,0,1919.86,8.0,1,2018-12-19,3.0
CUST_1078,63.0,1,2,2197.24,6.0,1,2016-02-14,10.0
CUST_1064,62.0,1,2,675.49,10.0,3,2022-02-22,6.0
CUST_1036,21.0,0,2,1519.98,2.0,0,2018-06-02,7.0
CUST_1089,18.0,2,2,4411.61,6.0,2,2024-02-17,9.0
CUST_1056,47.5,1,2,2788.06,0.0,2,2020-08-20,4.0
CUST_1054,38.0,0,2,3267.61,0.0,2,2015-05-12,6.0
CUST_1043,20.0,2,2,4954.61,10.0,3,2019-10-22,7.0
CUST_1050,52.0,1,1,2082.25,10.0,3,2021-05-16,3.0
CUST_1067,29.0,1,1,4400.61,2.0,3,2020-07-22,7.0
CUST_1046,59.0,1,2,3211.83,4.0,0,2020-04-01,10.0
CUST_1068,47.5,0,0,2588.84,3.0,0,2019-11-08,3.0
CUST_1061,18.0,0,1,2836.75,9.0,2,2024-11-06,1.0
CUST_1007,34.0,0,0,901.61,10.0,1,2018-11-27,6.0
CUST_1079,79.0,1,1,3211.83,1.0,3,2022-06-16,1.0
CUST_1041,61.0,1,2,3849.12,10.0,0,2023-11-10,5.0
CUST_1058,61.0,0,0,2254.13,6.0,0,2016-02-02,7.0
CUST_1048,47.5,0,1,3715.98,9.0,1,2023-06-14,9.0
CUST_1057,72.0,0,2,2100.49,4.0,3,2018-02-03,5.0
CUST_1075,70.0,0,1,1116.38,10.0,3,2021-04-03,2.0
CUST_1032,23.0,0,0,3788.47,6.0,2,2015-02-15,7.0
CUST_1004,105.0,2,0,4546.25,0.0,2,2015-06-12,2.0
CUST_1059,59.0,0,0,1664.43,10.0,2,2019-10-02,2.0
CUST_1063,56.0,2,0,3604.48,7.0,2,2019-07-07,8.0
CUST_1084,35.0,1,2,4621.79,10.0,0,2017-06-19,7.0
CUST_1037,42.0,0,0,3200.02,5.0,3,2018-12-03,6.0
CUST_1029,53.0,1,1,4709.15,9.0,0,2020-04-14,9.0
CUST_1001,20.0,1,1,1725.27,8.0,3,2016-08-15,10.0
CUST_1052,58.0,1,1,2816.76,8.0,0,2021-04-13,4.0
CUST_1021,30.0,0,0,4931.84,3.0,3,2017-02-06,8.0
CUST_1002,22.0,1,2,3118.24,9.0,1,2017-02-22,6.0
CUST_1023,29.0,0,0,2518.46,1.0,2,2020-07-08,10.0
CUST_1087,62.0,1,0,1938.31,5.0,3,2021-05-15,10.0
CUST_1074,72.0,2,1,782.21,5.0,3,2023-06-16,2.0
CUST_1086,42.0,1,1,4133.86,10.0,3,2023-03-07,8.0
CUST_1082,65.0,1,2,4480.76,5.0,0,2023-07-24,7.0
CUST_1020,27.0,0,1,1447.72,5.0,0,2019-12-23,7.0
CUST_1060,105.0,1,1,4109.39,9.0,0,2019-11-10,7.0
CUST_1071,27.0,1,2,4839.56,4.0,1,2021-12-07,8.0
CUST_1014,47.0,0,1,627.91,9.0,0,2021-06-07,7.0
CUST_1051,63.0,0,0,4672.17,0.0,1,2017-11-02,2.0
